source,host_response_time,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes
city scrape,within an hour,100%,f,1,t,Entire condo,Entire home/apt,5,2,3,$829.00,1,60,1,1,1125,1125,1,1125,,t,136,30,4.8,f,1,1
city scrape,within a few hours,71%,f,6,t,Entire rental unit,Entire home/apt,6,2,4,"$1,200.00",3,365,3,3,365,365,3,365,,t,359,0,,f,4,4
city scrape,within an hour,100%,f,9,t,Entire condo,Entire home/apt,2,1,1,$697.00,1,365,1,1,365,365,1,365,,t,356,22,4.91,t,9,9
city scrape,within an hour,99%,t,103,t,Entire rental unit,Entire home/apt,5,2,3,"$1,464.00",1,365,1,2,365,365,1,365,,t,251,44,4.86,t,96,96
city scrape,within an hour,67%,f,5,t,Campsite,Entire home/apt,16,15,,$300.00,1,365,1,1,365,365,1,365,,t,363,0,,t,5,3
city scrape,within an hour,100%,f,1,t,Entire guest suite,Entire home/apt,4,2,2,$625.00,1,1125,1,1,1125,1125,1,1125,,t,354,47,4.47,f,1,1
city scrape,within an hour,100%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,$500.00,2,1125,2,2,1125,1125,2,1125,,t,322,4,5,f,1,1
city scrape,within an hour,98%,f,5,t,Entire condo,Entire home/apt,4,2,2,$599.00,2,1125,2,2,1125,1125,2,1125,,t,316,28,4.75,f,5,5
city scrape,within an hour,100%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,$750.00,30,90,21,30,90,90,29.8,90,,t,71,1,5,t,1,1
city scrape,within an hour,100%,t,16,t,Shared room in bed and breakfast,Shared room,3,,2,$770.00,1,365,1,1,365,365,1,365,,t,324,0,,t,13,0
city scrape,N/A,0%,f,1,f,Private room in condo,Private room,2,,1,"$1,100.00",1,30,1,1,30,30,1,30,,t,364,0,,f,1,0
city scrape,N/A,100%,f,3,t,Private room in condo,Private room,1,,1,"$1,500.00",1,30,1,1,30,30,1,30,,t,362,0,,f,3,1
city scrape,within an hour,83%,t,2,t,Entire condo,Entire home/apt,4,2,3,$951.00,2,1125,2,2,1125,1125,2,1125,,t,347,11,4.91,f,1,1
city scrape,within an hour,100%,t,16,t,Shared room in bed and breakfast,Shared room,3,,2,$770.00,1,365,1,1,365,365,1,365,,t,316,0,,t,13,0
city scrape,within an hour,100%,t,36,t,Shipping container,Entire home/apt,2,1,1,$450.00,1,365,1,1,365,365,1,365,,t,364,23,4.83,f,36,36
city scrape,N/A,100%,f,3,t,Entire condo,Entire home/apt,1,1,1,"$3,300.00",4,30,4,4,30,30,4,30,,t,363,0,,f,3,1
city scrape,within an hour,100%,t,8,t,Private room in condo,Private room,2,,1,$580.00,1,365,1,1,365,365,1,365,,t,88,3,5,t,3,0
city scrape,within an hour,100%,t,1,t,Entire guesthouse,Entire home/apt,3,1,2,$405.00,1,365,1,1,365,365,1,365,,t,284,74,4.96,f,1,1
city scrape,within an hour,98%,t,6,t,Entire condo,Entire home/apt,4,2,3,"$1,674.00",2,1125,2,2,1125,1125,2,1125,,t,318,28,5,t,6,6
city scrape,within an hour,100%,t,1,t,Entire condo,Entire home/apt,3,2,2,$990.00,3,1125,3,3,1125,1125,3,1125,,t,338,13,4.92,f,1,1
city scrape,within an hour,99%,t,9,t,Entire condo,Entire home/apt,12,7,11,"$5,124.00",2,365,1,5,1125,1125,2.7,1125,,t,326,36,4.92,t,9,9
city scrape,within an hour,100%,f,5,t,Entire condo,Entire home/apt,7,3,4,"$1,699.00",3,90,3,3,1125,1125,3,1125,,t,140,14,4.86,t,5,1
city scrape,within an hour,100%,t,5,t,Entire loft,Entire home/apt,3,1,2,"$1,550.00",3,1125,3,3,1125,1125,3,1125,,t,269,2,5,f,4,4
previous scrape,N/A,N/A,f,2,t,Private room in rental unit,Private room,1,,1,$500.00,1,365,1,1,365,365,1,365,,f,0,0,,f,2,0
previous scrape,N/A,N/A,f,2,t,Private room in rental unit,Private room,1,,1,$500.00,1,365,1,1,365,365,1,365,,f,0,0,,f,2,0
city scrape,within an hour,100%,f,1,t,Entire loft,Entire home/apt,2,1,1,"$1,200.00",2,120,2,2,120,120,2,120,,t,26,17,4.71,f,1,1
city scrape,within an hour,96%,t,10,t,Entire rental unit,Entire home/apt,4,2,2,"$2,000.00",3,1125,3,3,1125,1125,3,1125,,t,310,6,4.83,f,8,8
city scrape,within an hour,100%,f,3,t,Entire rental unit,Entire home/apt,4,1,2,$718.00,1,1125,1,1,1,1125,1,1119.8,,t,336,30,4.73,t,3,3
city scrape,within an hour,100%,f,4,t,Entire rental unit,Entire home/apt,4,2,2,"$1,837.00",1,60,1,1,1125,1125,1,1125,,t,316,12,4.67,t,3,2
city scrape,within a few hours,100%,f,1,t,Entire condo,Entire home/apt,2,2,2,"$1,100.00",4,1125,4,4,1125,1125,4,1125,,t,257,18,4.83,f,1,1
city scrape,within a day,100%,f,1,t,Entire condo,Entire home/apt,3,2,2,"$1,000.00",2,1125,2,2,1125,1125,2,1125,,t,356,0,,f,1,1
city scrape,within a few hours,100%,f,1,t,Entire serviced apartment,Entire home/apt,4,2,2,"$1,000.00",1,1125,1,1,1125,1125,1,1125,,t,325,9,4.44,t,1,1
city scrape,within an hour,96%,t,1,t,Entire condo,Entire home/apt,2,1,1,$544.00,2,30,2,2,1125,1125,2,1125,,t,48,28,4.82,f,1,1
city scrape,within an hour,77%,f,1,f,Shared room in condo,Shared room,1,,1,$210.00,1,365,1,1,365,365,1,365,,t,363,4,4,f,1,0
previous scrape,N/A,33%,f,2,f,Private room in home,Private room,2,,1,$450.00,1,365,1,1,365,365,1,365,,f,0,0,,f,1,0
